iata,name,city,countryName,regionName,utcOffsetHours,latitude,longitude
MPC,Muko-Muko Airport,Muko-Muko,Indonesia,Asia,7,-2.55,101.1
MPD,Mirpur Khas Airport,Mirpur Khas,Pakistan,Asia,5,25.65,69.033333
MPF,Mapoda Airport,Mapoda,Papua New Guinea,Asia,10,-7.966667,143.166667
MPG,Makini Airport,Makini,Papua New Guinea,Asia,10,-6.533333,147.716667
MPQ,Maan Airport,Maan,Jordan,Middle East,3,30.166667,35.766667
MPT,Maliana Airport,Maliana,Indonesia,Asia,9,-8.066667,125.25
MPU,Mapua Airport,Mapua,Papua New Guinea,Asia,10,-2.9,151.4
MPY,Maripasoula Airport,Maripasoula,French Guiana,South America,-3,3.666667,-54.033333
MQA,Mandora Airport,Mandora,Australia,Oceania,8,-19.75,120.833333
MUW,Ghriss Airport,Ghriss,Algeria,Africa,1,35.208533,0.147669
MTX,Metro Field,Fairbanks,United States,North America,-8,64.807197,-147.760097
MQE,Marqua Airport,Marqua,Australia,Oceania,9.5,-22.816667,137.35
MQG,Midgard Airport,Midgard,Namibia,Africa,1,-22.083333,17.366667
MRH,May River Airport,May River,Papua New Guinea,Asia,10,-8.466667,145.333333
MRJ,Marcala Airport,Marcala,Honduras,Central America,-6,14.163611,-88.033333
MRT,Moroak Airport,Moroak,Australia,Oceania,9.5,-14.483333,133.416667
MSF,Mount Swan Airport,Mount Swan,Australia,Oceania,9.5,-22.516667,135
MSG,Matsaile Airport,Matsaile,Lesotho,Africa,2,-29.733333,28.75
MSH,Masirah Airport,Masirah,Oman,Middle East,4,20.680556,58.891667
MSI,Masalembo Airport,Masalembo,Indonesia,Asia,7,-5.583333,114.433333
MSK,Mastic Point Airport,Mastic Point,Bahamas,Caribbean,-4,25.033333,-78
MTD,Mount Sanford Airport,Mount Sanford,Australia,Oceania,9.5,-17,130.566667
MTG,Mato Grosso Airport,Mato Grosso,Brazil,South America,-4,-14,-55
MTI,Mosteiros Airport,Mosteiros,Cape Verde,Africa,-1,15,-24.433333
MTK,Makin Island Airport,Makin Island,Kiribati,Oceania,12,3,174
MTU,Montepuez Airport,Montepuez,Mozambique,Africa,2,-13.133333,38.983333
MTZ,Masada Airport,Masada,Israel,Middle East,3,33.233333,35.75
GCH,Gachsaran Airport,Gachsaran,Iran,Asia,4.5,30.3364,50.831656
MVA,Reykiahlid Airport,Myvatn,Iceland,Europe,0,65.616667,-16.966667
MVG,Mevang Airport,Mevang,Gabon,Africa,1,0.116667,11.083333
MVI,Manetai Airport,Manetai,Papua New Guinea,Asia,10,-6,155.333333
MVJ,Marlboro Airport,Mandeville,Jamaica,Caribbean,-5,18.021667,-77.495278
MVK,Mulka Airport,Mulka,Australia,Oceania,9.5,-27.25,138
MVQ,Mogilev Airport,Mogilev,Belarus,Europe,3,53.95,30.133333
MWD,Mianwali Airport,Mianwali,Pakistan,Asia,5,32.55,71.55
MWG,Marawaka Airport,Marawaka,Papua New Guinea,Asia,10,-6.133333,146.133333
MWJ,Matthews Ridge Airport,Matthews Ridge,Guyana,South America,-4,6.55,-59.9
MWK,Matak Airport,Matak,Indonesia,Asia,7,3.3,106.266667
MWS,Mount Wilson Airport,Mount Wilson,United States,North America,-7,34.216667,-118.066667
MWT,Moolawatana Airport,Moolawatana,Australia,Oceania,9.5,-28.5,138
MWU,Mussau Airport,Mussau,Papua New Guinea,Asia,10,-1.5,149.666667
MWV,Mundulkiri Airport,Mundulkiri,Cambodia,Asia,7,12.460556,107.190833
MWW,Mouscron Airport,Mouscron,Belgium,Europe,2,50.733333,3.2
MXK,Mindik Airport,Mindik,Papua New Guinea,Asia,10,-6.383333,147.616667
MXR,Mirgorod Airport,Mirgorod,Ukraine,Europe,3,49.966667,33.6
MYM,Monkey Mountain Airport,Monkey Mountain,Guyana,South America,-4,4.6,-59.633333
GDI,Gordil Airport,Gordil,Central African Republic,Africa,1,9.733333,21.583333
GDJ,Gandajika Airport,Gandajika,The Democratic Republic of The Congo,Africa,1,-6.766667,23.966667
GDP,Guadalupe Airport,Guadalupe,Brazil,South America,-3,-6.781944,-43.581667
MYO,Myroodah Airport,Myroodah,Australia,Oceania,8,-18.116667,124.266667
MYP,Mary Airport,Mary,Turkmenistan,Asia,5,37.666667,61.833333
MYS,Moyale Airport,Moyale,Ethiopia,Africa,3,3.466667,39.1
MZD,Mendez Airport,Mendez,Ecuador,South America,-5,-2.733333,-78.316667
MZE,Manatee Airport,Manatee,Belize,Central America,-6,17.083333,-89.6
MZF,Wild Coast Sun Airport,Mzamba,South Africa,Africa,2,-32.75,28.5
MZK,Marakei Airport,Marakei,Kiribati,Oceania,12,1.983333,173.666667
MZN,Minj Airport,Minj,Papua New Guinea,Asia,10,-5.905556,144.676667
MZS,Mostyn Airport,Mostyn,Malaysia,Asia,8,4.616667,118.15
MZY,Mossel Bay Airport,Mossel Bay,South Africa,Africa,2,-34.183333,22.083333
NAD,Macanal Airport,Macanal,Colombia,South America,-5,2.566667,-67.583333
NAF,Banaina Airport,Banaina,Indonesia,Asia,8,2.75,117.05
NAM,Namlea Airport,Namlea,Indonesia,Asia,9,-3.3,127.1
NBA,Nambaiyufa Airport,Nambaiyufa,Papua New Guinea,Asia,10,-6.25,145.233333
NBB,Barrancominas Airport,Barrancominas,Colombia,South America,-5,3.333333,-70.333333
NBL,San Blas Airport,San Blas,Panama,Central America,-5,9.3,-79
NBV,Cana Brava Airport,Cana Brava,Brazil,South America,-3,-17.383333,-45.866667
NCR,San Carlos Airport,San Carlos,Nicaragua,Central America,-6,11.25,-84.833333
NCT,Guanacaste Airport,Nicoya,Costa Rica,Central America,-6,10.138889,-85.445
NDA,Bandanaira Airport,Bandanaira,Indonesia,Asia,9,-4.533333,129.9
NDF,Ndalatandos Airport,Ndalatandos,Angola,Africa,1,-9.333333,14.833333
NDI,Namudi Airport,Namudi,Papua New Guinea,Asia,10,-9.433333,148.266667
NDN,Nadunumu Airport,Nadunumu,Papua New Guinea,Asia,10,-9.133333,147.683333
NDO,La Palma Del Condado Airport,La Palma Del Condado,Spain and Canary Islands,Europe,2,37.383333,-6.583333
NGR,Ningerum Airport,Ningerum,Papua New Guinea,Asia,10,-6.5,141
NGW,Cabaniss Field,Corpus Christi,United States,North America,-5,27.783333,-97.4
NHS,Nushki Airport,Nushki,Pakistan,Asia,5,29.583333,66
NHX,Barin Olf Osn Airport,Foley,United States,North America,-5,30.4,-87.683333
NZA,Nzagi Airport,Nzagi,Angola,Africa,1,-7.716528,21.357861
NIE,Niblack Airport,Niblack,United States,North America,-8,55.066667,-132.15
NIF,Nifty Airport,Nifty,Australia,Oceania,8,-21.675,121.586111
NIG,Nikunau Airport,Nikunau,Kiribati,Oceania,12,-1.333333,176.416667
NIK,Niokolo Koba Airport,Niokolo Koba,Senegal,Africa,0,13.066667,-12.716667
NIS,Simberi Island Airport,Simberi Island,Papua New Guinea,Asia,10,-2.666667,152
NKA,Nkan Airport,Nkan,Gabon,Africa,1,0.7,9.983333
NKB,Noonkanbah Airport,Noonkanbah,Australia,Oceania,8,-18.55,124.85
